"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет наличие issue с заголовком ""for test"" в репозитории juliSavitskaya/qa_guru_hw_8 через пользовательский UI GitHub","10993","Проверка существования issue в репозитории","tests","Tue Jun 17 15:26:21 GMT 2025","broken","Tue Jun 17 15:26:32 GMT 2025","","test_with_allure_decorator","",""
"","11007","test_github_issue_exists","tests","Tue Jun 17 15:26:10 GMT 2025","broken","Tue Jun 17 15:26:21 GMT 2025","","test_search_issue_without_allure","",""
"","10892","test_github_issue_exists","tests","Tue Jun 17 15:26:33 GMT 2025","broken","Tue Jun 17 15:26:43 GMT 2025","","test_with_allure_step","",""
