"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10904","test_github_issue_exists","tests","Tue Jun 17 16:28:27 GMT 2025","broken","Tue Jun 17 16:28:38 GMT 2025","","test_search_issue_without_allure","",""
"Тест проверяет наличие issue с заголовком ""for test"" в репозитории juliSavitskaya/qa_guru_hw_8 через пользовательский UI GitHub","10940","Проверка существования issue в репозитории","tests","Tue Jun 17 16:28:38 GMT 2025","broken","Tue Jun 17 16:28:49 GMT 2025","","test_with_allure_decorator","",""
"","10926","test_github_issue_exists","tests","Tue Jun 17 16:28:50 GMT 2025","broken","Tue Jun 17 16:29:01 GMT 2025","","test_with_allure_step","",""
