"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тест проверяет наличие issue с заголовком ""for test"" в репозитории juliSavitskaya/qa_guru_hw_8 через пользовательский UI GitHub","21104","Проверка существования issue в репозитории","tests","Wed Jun 18 06:09:19 GMT 2025","broken","Wed Jun 18 06:09:40 GMT 2025","","test_with_allure_decorator","",""
"","11086","test_github_issue_exists","tests","Wed Jun 18 06:09:07 GMT 2025","broken","Wed Jun 18 06:09:18 GMT 2025","","test_search_issue_without_allure","",""
"","10893","test_github_issue_exists","tests","Wed Jun 18 06:09:41 GMT 2025","broken","Wed Jun 18 06:09:51 GMT 2025","","test_with_allure_step","",""
