"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11020","test_github_issue_exists","tests","Wed Jun 18 06:25:56 GMT 2025","broken","Wed Jun 18 06:26:07 GMT 2025","","test_search_issue_without_allure","",""
"Тест проверяет наличие issue с заголовком ""for test"" в репозитории juliSavitskaya/qa_guru_hw_8 через пользовательский UI GitHub","21096","Проверка существования issue в репозитории","tests","Wed Jun 18 06:26:08 GMT 2025","broken","Wed Jun 18 06:26:29 GMT 2025","","test_with_allure_decorator","",""
"","11035","test_github_issue_exists","tests","Wed Jun 18 06:26:29 GMT 2025","broken","Wed Jun 18 06:26:40 GMT 2025","","test_with_allure_step","",""
